publication_year,n,share_flag_fdg,share_flag_lrr,share_flag_imbd
2012,205,0.2780487804878049,0.23414634146341465,0.28780487804878047
2013,1071,0.4042950513538749,0.2642390289449113,0.3473389355742297
2014,1307,0.4483550114766641,0.2410099464422341,0.315990818668707
2015,1434,0.3807531380753138,0.201534170153417,0.27615062761506276
2016,2012,0.4194831013916501,0.23757455268389663,0.30566600397614313
2017,2289,0.3350808213193534,0.27348186981214506,0.2800349497597204
2018,2756,0.33345428156748913,0.2797532656023222,0.31567489114658925
2019,2732,0.32174231332357245,0.31295754026354317,0.284407027818448
2020,3275,0.35419847328244275,0.30442748091603056,0.32091603053435114
2021,3882,0.27846470891293146,0.31504379185986603,0.23518804739824833
2022,4800,0.2547916666666667,0.3227083333333333,0.235625
2023,5248,0.24885670731707318,0.3157393292682927,0.26333841463414637
2024,6120,0.19052287581699345,0.28251633986928104,0.2571895424836601
2025,3058,0.16775670372792675,0.28221059516023544,0.35219097449313275
